"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000108723",4.57541322314745,0.668928672965807,0.935164614316955,0.715305800417173,0.474420105175987,NA
"ENSMUSG00000004360",1.20409037900665,3.31533077963509,4.06399036700834,0.81578214519136,0.414624746895577,NA
"ENSMUSG00000095863",0.817852330766808,0,3.47742977444242,0,1,NA
"ENSMUSG00000085165",0.600945928438017,0,4.40735632393119,0,1,NA
"ENSMUSG00000098929",0.580419821651782,-1.31940130912553,2.83805047703899,-0.464897055144029,0.642005179499865,NA
"ENSMUSG00000098926",1.15554355199031,0.255313320790131,1.45124376207452,0.175927247690744,0.860351098636735,NA
"ENSMUSG00000085168",0.295264035279783,0,4.40735632394081,0,1,NA
"ENSMUSG00000085169",0.464975050456337,-3.37636604267691,4.29467365352146,-0.786175228916039,0.431764836127318,NA
"ENSMUSG00000083624",0.34630527145653,0.824083475256255,4.07178677679304,0.202388661398745,0.839612891884605,NA
"ENSMUSG00000082677",1.03111911538362,-1.29232883134858,3.61756838153287,-0.357236877109419,0.720914480889283,NA
"ENSMUSG00000053353",1.85649853830967,-0.793812712036882,1.44404475778276,-0.549714756248783,0.582515034104973,NA
"ENSMUSG00000082671",0.185990020182535,-2.0522887380222,4.36532600588247,-0.470134128643921,0.638259192288972,NA
"ENSMUSG00000065416",0.0741543212526849,0,4.40735632396697,0,1,NA
"ENSMUSG00000065412",0.998196074604697,-0.165103280824909,1.52833260278626,-0.108028370607231,0.913973187407236,NA
"ENSMUSG00000084781",3.57721780133808,2.5986329036599,1.68199227035211,1.54497315443424,0.122352756970105,NA
"ENSMUSG00000094151",1.48801923621301,-0.593754779363306,2.35460139241277,-0.252167853665831,0.800911324371101,NA
"ENSMUSG00000081093",0.680078739198773,-1.66744027527103,3.02411629154268,-0.55138100341387,0.581372520246257,NA
"ENSMUSG00000099301",0.552496976701706,-1.12541156710896,3.11077617531159,-0.361778380598607,0.717517649157171,NA
"ENSMUSG00000106165",0.0738160088199458,0,4.40735632396697,0,1,NA
"ENSMUSG00000106166",3.76269112437714,0.355908825308881,1.07723527180788,0.330390987580247,0.741104550439844,NA
"ENSMUSG00000081099",0.811113935513441,1.15010256771352,2.32886106104208,0.49384765237944,0.62141377652772,NA
"ENSMUSG00000085781",1.56643911153099,-1.25188599761561,4.1181346245992,-0.303993461053364,0.761132872889348,NA
"ENSMUSG00000085786",0.422326143280419,-2.61773362569031,4.3273246704205,-0.604931181518196,0.545224723715714,NA
"ENSMUSG00000085788",4.30156034357415,0.842276415674411,1.5253342492552,0.552191374504103,0.580817243346391,NA
